,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
65,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-php-sdk-malwarebytes, The SmartyStreets PHP SDK by Malwarebytes allows developers to integrate the SmartyStreets API into their PHP projects. This SDK can be installed via Composer and is a continuous work in progress.,,PHP,,https://github.com/Malwarebytes/SmartyStreetsBundle
66,Vungle Indirect API,"Advertising, Mobile, Video",11.19.2018,https://www.programmableweb.com/sdk/vungle-unity-sdk, The Vungle Unity SDK allows advertisers to manage campaigns and monetize with high converting video ads. This package supports Unity 4 or later for iOS and Android builds.,,Unity,Vungle,https://github.com/Vungle/Unity-Plugin
67,Vungle Indirect API,"Advertising, Mobile, Video",11.19.2018,https://www.programmableweb.com/sdk/vungle-c-sdk, The Vungle C++ SDK allows advertisers to manage campaigns and monetize with high converting video ads. The latest version is 1.3.16.,,C++,Vungle,https://github.com/Vungle/Windows-SDK
68,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-symfony-php-sdk-derick-felsman," The SmartyStreets Symfony PHP SDK by Derick Felsman allows developers to integrate the SmartyStreets API into their applications built with Symfony 2, a PHP web application framework. This SDK can be installed via Composer.",,PHP,Independent Developer,https://github.com/blackknight467/SmartyStreetsBundle
69,"SmartyStreets REST API, SmartyStreets Download REST API, SmartyStreets US Autocomplete REST API, SmartyStreets US Extract REST API, SmartyStreets US Street Address REST API v1.0, SmartyStreets US Zip Code REST API, SmartyStreets Verify International Addresses REST API","Mapping, Addresses, Zip Codes",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-clojure-sdk-democracy-works, The SmartyStreets Clojure SDK by Democracy Works allows developers to integrate the SmartyStreets APIs into their Clojure applications.,,Clojure,SmartyStreets,https://github.com/democracyworks/clj-smartystreets
70,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-go-sdk-michael-whatcott, The SmartyStreets Go SDK by Michael Whatcott provides a command-line interface to the SmartyStreets API using Go.,,Go,Independent Developer,https://github.com/mdwhatcott/smarty-cli
71,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-perl-sdk-ali-anari, The SmartyStreets Perl SDK by Ali Anari allows developers to integrate the SmartyStreets API into their Perl applications.,,PERL,Independent Developer,https://github.com/aanari/WebService-SmartyStreets
72,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-ruby-sdk-leadsimple, The SmartyStreets Ruby SDK by LeadSimple is a gem that allows developers to integrate the SmartyStreets API into their Ruby applications.,,Ruby,,https://github.com/LeadSimple/live_address
73,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-python-sdk-chris-cohoat, The SmartyStreets Python SDK by Chris Cohoat allows developers to integrate the SmartyStreets API into their Python applications.,https://pypi.org/project/smartystreets/,Python,Independent Developer,https://github.com/chriscohoat/smartystreets
74,SmartyStreets REST API,"Mapping, Addresses",11.19.2018,https://www.programmableweb.com/sdk/smartystreets-php-sdk-aaron-webb, The SmartyStreets PHP SDK by Aaron Webb allows developers to access the SmartyStreets API using PHP code.,,PHP,Independent Developer,https://github.com/aaronwebb/smartystreets-php
