,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
60,Find out what major motion pictures are filmed near you. Results are displayed in a Google map. Click on movie names to get movie details or buy it on Amazon.com.,Movies,09.18.2006,https://www.programmableweb.com/mashup/moviemappr,"Amazon Product Advertising, Google Maps, Yahoo Geocoding","Movies, Mapping, Video, Celebrities, Trivia",http://moviemappr.com,,
61,Nice integration of library data like what you have checked-out or are waiting forinto an automatically updating Google Gadget. Initially for Ann Arbor District Library. Talis mashup contest winner.,Widgets,09.18.2006,https://www.programmableweb.com/mashup/go-go-google-gadget,Google Gadgets,"Widgets, Books, Library",http://www.blyberg.net/2006/08/18/go-go-google-gadget/,,
62,"Collection of online maps using Google or Microsoft maps, street level to whole of the continent, including place name and address search, geocoding and link to map service.",Australian,09.17.2006,https://www.programmableweb.com/mashup/maps-australia,"Google Maps, Microsoft Bing Maps","Australian, Mapping, Search, Travel, Weather, Reference",http://www.aus-emaps.com,,
63,"CameraPrices reviews, ratings, prices on 1000s of camera products. Browse the directory to find the best deals and cheapest prices. Check out the blog, polls, news, articles, and photography community for more camera information.",eCommerce,09.16.2006,https://www.programmableweb.com/mashup/camera-prices,Shopping.com,"eCommerce, Photos",http://www.cameraprices.com/,,
64,"See the most talked about videos...currently tracking YouTube, MySpace and Google Video.",Video,09.15.2006,https://www.programmableweb.com/mashup/viral-video-chart,YouTube,"Video, Movies",http://viralvideochart.unrulymedia.com/all,,
65,"Not an exciting mashup but I use four different APIs to deliver fresh, useful, or interesting content to this British Columbia travel site.",Travel,09.15.2006,https://www.programmableweb.com/mashup/sunshine-coast-bc-community-site,"Flickr, Google Maps, Yahoo Search","Travel, Mapping, Canadian, Photos",http://www.suncoastcentral.com/index.asp,,
66,Flash-based interface for searching for Flickr photos and YouTube videos by tag. Initially created by Ted Patrick for an Adobe Flex demo at Mashup University.,Video,09.15.2006,https://www.programmableweb.com/mashup/tagtv,"Flickr, YouTube","Video, Photos",http://www.onflex.org/TagTV/,,
67,"Compare new homes, home designs, builders, land estate, house plans, via Google Maps in Australia.",Australian,09.14.2006,https://www.programmableweb.com/mashup/mypackage-australia,Google Maps,"Australian, Mapping",http://www.mypackage.com.au,,
68,"earth album is a google maps + flickr mash-up that allows you to tour the world visually via top-rated flickr photos. Visit the red houses of Norway, swing through the mountains of China, then fly south to the icy Antarctic, all with a few clicks.",Mapping,09.14.2006,https://www.programmableweb.com/mashup/earth-album,,"Mapping, Photos",http://www.earthalbum.com,,
69,"Texsy automatically underlines product-y phrases on a web page, and creates a mouseover ad with related products and prices. The ad clicks are connected to the Amazon, Ebay and Shopping.com affiliate programs.",Advertising,09.12.2006,https://www.programmableweb.com/mashup/texsy-ads,"Amazon Product Advertising, eBay, Shopping.com","Advertising, eCommerce",http://www.texsy.com,,
70,"deliSearch allows you to do a Yahoo search through a delicious users bookmark collection. Think Rollyo, with search rolls from delicious.",Search,09.12.2006,https://www.programmableweb.com/mashup/delisearch,"del.icio.us, Yahoo Search",Search,http://blogs.open.ac.uk/Maths/ajh59/deliSearch.php,,
71,"Peer-to-peer collaboration engine built on the Skype API that converts mainstream productivity applications such as the Microsoft Office suite from static standalone tools to interactive, collaborative platforms.",Messaging,09.12.2006,https://www.programmableweb.com/mashup/live-documents,,"Messaging, Collaboration",http://www.live-documents.com/,,
72,Rate basketball dunk video clips from YouTube.,Video,09.11.2006,https://www.programmableweb.com/mashup/dunkathon-0,YouTube,"Video, Sports",http://dunkathon.com,,
73,Shows the results of Indeed job search on a Google Map.,Jobs,09.11.2006,https://www.programmableweb.com/mashup/jobmaps,Google Maps,"Jobs, Mapping",http://jobmaps.us/,,
74,This Google Maps transit mashup takes an independent ride-guide for the San Diego Trolley and mashes it up with Google Maps.,Mapping,09.10.2006,https://www.programmableweb.com/mashup/bettertrolley,Google Maps,"Mapping, Transportation",http://www.bettertrolley.com/,,
