,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
10," ChocolateChip-UI aims to be a JavaScript framework for making mobile Web apps. It has three components: semantic HTML5 markup, CSS and JavaScript. Using the framework requires a familiarity with JavaScript so users can utilize features such as templates, Ajax requests and handle callbacks for user interaction. ChocolateChip-UI requires jQuery.",10.30.2015,https://www.programmableweb.com/framework/chocolatechip-ui-javascript-framework-sourcebits,JavaScript,Sourcebits,http://chocolatechip-ui.com/,https://github.com/sourcebitsllc/chocolatechip-ui,
11," The RaptorJS aims to be a JavaScript module bundler that also provides first-level support for delivering JavaScript, CSS, images and other assets to the browser. Supported optimizations: Bundling, Code splitting, Lazy loading, Compression, and several others.",10.30.2015,https://www.programmableweb.com/framework/raptorjs-javascript-framework-raptorjs,JavaScript,eBay,http://raptorjs.org/,https://github.com/raptorjs-legacy/raptorjs,
12," The Watir Framework aims to be an open-source (BSD) family of Ruby libraries for automating web browsers. It supports develper's apps regardless of the technology it is developed in. The framework supports testing in Internet Explorer on Windows, Firefox and Chrome on Windows, Mac and Linux.",10.30.2015,https://www.programmableweb.com/framework/watir-javascript-framework-watir,JavaScript,Independent Developer,http://watir.com/,https://github.com/watir/watir,
13, Yeti aims to be a Framework that tests frameworks. It allows for the automation of testing for various test frameworks. Yeti attempts to test a dev box (where it works by itself) to a CI system (where it launches browsers with Selenium) without changing existing tests. The framework requires Node.js.,10.30.2015,https://www.programmableweb.com/framework/yeti-javascript-framework-yui,JavaScript,YUI,https://github.com/yui/yeti,http://yeti.cx/,
14, Zombie.js aims to be a lightweight framework for testing client-side JavaScript code in a simulated environment. Its biggest feature is that is does not require a browser for testing. Installation requires oi.js.,10.19.2015,https://www.programmableweb.com/framework/zombiejs-javascript-framework-assaf-arkin,JavaScript,Independent Developer,http://zombie.js.org/,https://github.com/assaf/zombie/,
15," The aim of the Karma JavaScript Framework is to bring instant feedback testing to developers. Its features include: testing on real devices, remote workflow control, continuous integration, and others.",10.19.2015,https://www.programmableweb.com/framework/karma-javascript-framework-karma-runner,JavaScript,Independent Developer,http://karma-runner.github.io/0.13/index.html,https://github.com/karma-runner/karma,
16," CasperJS aims to be a navigation scripting &amp; testing utility for PhantomJS and SlimerJS. The framework facilitates the process of defining a full navigation scenario and provides functionality, methods &amp; syntaxic sugar for doing common tasks. Such tasks include: defining and ordering navigantion steps; filing forms, clicking links, capturing screenshots, logging events and several others. This framework is written in JavaScript.",10.19.2015,https://www.programmableweb.com/framework/casperjs-javascript-framework-nicolas-perriault,JavaScript,Independent Developer,http://casperjs.org/,https://github.com/n1k0/casperjs,
17," PhantomJS aims to be a headless WebKit that is scriptable with a JavaScript API. Its features include native support for various web standards: DOM handling, CSS selector, JSON, Canvas, and SVG. PhantomJS can be used to test workflow of various open-source projects: Bootstrap, CodeMirror, Ember.js, jQuery Mobile, Less.js, Modernizr, YUI3, and others. The framework is written in JavaScript.",10.19.2015,https://www.programmableweb.com/framework/phantomjs-javascript-framework-ariya-hidayat,JavaScript,Independent Developer,http://phantomjs.org/,https://github.com/ariya/phantomjs,
18, The State Machine Framework offers developers a standalone javascript micro-framework that provides a finite state machine. This framework is written JavaScript.,10.19.2015,https://www.programmableweb.com/framework/state-machine-javascript-framework-jake-gordon,JavaScript,Independent Developer,http://codeincomplete.com/posts/2014/3/15/javascript_state_machine_v2_3_0/,https://github.com/jakesgordon/javascript-state-machine,
19," The AngularJS JavaScript Router Framework by Angular-UI is a de-facto solution to flexible routing with nested views for the AngularJS API. This routing framework allows users to organize parts of interfaces into a state machine. The states are bound to named, nested and parallel views, allowing for powerful management of the user's application interfaces.
The AngularJS API allows developers to access and integrate the functionality of AngularJS with other applications and to create new applications.",10.01.2015,https://www.programmableweb.com/framework/angularjs-javascript-router-framework-angular-ui,JavaScript,AngularUI,https://github.com/angular-ui/ui-router/blob/master/README.md,https://github.com/angular-ui/ui-router,
20, The xCSS JavaScript Framework by Anton Pawlik aims to be a straightforward and object-oriented workflow when developing complex style cascades. It allows for developers to more easily develop and write CSS applications and includes a variety of other features.,09.29.2015,https://www.programmableweb.com/framework/xcss-javascript-framework-anton-pawlik,JavaScript,Independent Developer,http://xcss.antpaw.org/,https://github.com/antpaw/xCSS,
21," The GroundworkCSS Framework allows for developers to use HTML5, CSS and Javascript toolkits. The Framework aims create accessible web apps that work on different devices.",09.25.2015,https://www.programmableweb.com/framework/groundwork-css-framework-groundworkcss,CSS,Independent Developer,http://groundworkcss.github.io/,https://github.com/groundworkcss/groundwork,
22," The Unsematic CSS Framework by Nathan Smith aims to be a fluid grid for mobile, tablet, and desktop application developers.",09.25.2015,https://www.programmableweb.com/framework/unsematic-css-framework-nathan-smith,CSS,Independent Developer,http://unsemantic.com/,https://github.com/nathansmith/unsemantic,
23," The Tuktuk CSS Framework by Javi Jiménez allows for developers to create responsive front-end framework that creates extensible sites. Features include: CSS3 powered, and Object Oriented CSS: The aim of this framework is to encourage code reuse and create stylesheets that can be added to and maintained.",09.25.2015,https://www.programmableweb.com/framework/tuktuk-css-framework-javi-jim%C3%A9nez,CSS,Independent Developer,http://tuktuk.tapquo.com/,https://github.com/soyjavi/tuktuk,
24," The Fluidable CSS Framework by Andri Sigurðsson aims to be a mobile first, responsive grid system. It is standalone, lightweight &amp; built using LESS.",09.25.2015,https://www.programmableweb.com/framework/fluidable-css-framework-andri-sigur%C3%B0sson,CSS,Independent Developer,http://fluidable.com/,https://github.com/andri/fluidable,
25, The Ink CSS Framework by SAPO aims to be an HTML5/CSS3 framework for design and prototyping.,09.25.2015,https://www.programmableweb.com/framework/ink-css-framework-sapo,CSS,SAPO,http://ink.sapo.pt/,https://github.com/sapo/Ink/,
26," The Kickoff CSS Framework by Kickoff aims to be a lightweight front-end framework for creating scalable, responsive sites.",09.25.2015,https://www.programmableweb.com/framework/kickoff-css-framework-kickoff,CSS,Independent Developer,http://trykickoff.github.io/index.html,https://github.com/TryKickoff/kickoff,
27," The Cascade CSS Framework by John Slegers allows developers to split CSS into seperate files based on features rather than selectors as well as implementt a modifier design pattern inspired by SMACCS and OOCSS,",09.25.2015,https://www.programmableweb.com/framework/cascade-css-framework-john-slegers,CSS,Independent Developer,https://github.com/jslegers/cascadeframework,https://github.com/jslegers/cascadeframework,
